epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7519,1.19248,2.58236,1.29351,0.01172,1,0.84825,0.61859,0.86466,2.99746,1.21214,0.0004,0.0004,0.0004
2,35.573,1.02281,1.71366,1.10096,0.93761,0.57811,0.94623,0.70141,0.84627,2.81162,1.13404,0.00077941,0.00077941,0.00077941
3,52.5984,1.1002,1.74136,1.18842,0.58632,0.76923,0.75976,0.47558,1.1934,2.87163,1.52223,0.00111724,0.00111724,0.00111724
4,70.3204,1.019,1.61826,1.11859,0.72314,0.8038,0.8574,0.54567,1.2457,2.81987,1.50934,0.00141349,0.00141349,0.00141349
5,88.7771,1.04194,1.60302,1.13352,0.92877,0.76923,0.91407,0.64474,0.94319,2.43655,1.18968,0.001604,0.001604,0.001604
6,105.361,1.04066,1.62867,1.15168,0.87379,0.79911,0.91219,0.63202,1.00731,2.05821,1.25729,0.001505,0.001505,0.001505
7,122.258,0.97994,1.61126,1.1093,0.78983,0.80769,0.87518,0.4478,1.12169,2.44515,1.34845,0.001406,0.001406,0.001406
8,139.16,1.04989,1.52372,1.12397,0.90158,1,0.96631,0.65182,1.06476,2.15681,1.2525,0.001307,0.001307,0.001307
9,156.346,0.97669,1.41919,1.08764,0.92765,0.98663,0.9608,0.70034,0.92839,1.74701,1.15578,0.001208,0.001208,0.001208
10,173.66,0.93542,1.42007,1.0827,0.91273,1,0.95493,0.69331,0.95105,1.79264,1.19913,0.001109,0.001109,0.001109
11,189.494,0.9578,1.60514,1.14184,0.91787,1,0.976,0.73272,0.91866,1.66204,1.20625,0.00101,0.00101,0.00101
12,206.514,0.90663,1.63441,1.14197,0.8284,0.96154,0.91572,0.68125,0.98636,1.86384,1.23509,0.000911,0.000911,0.000911
13,223.794,0.91111,1.63703,1.06776,0.88391,0.92308,0.90622,0.66863,0.98882,1.7041,1.24881,0.000812,0.000812,0.000812
14,241.645,0.8921,1.51428,1.08957,0.9586,1,0.98537,0.72744,0.95888,1.51341,1.18982,0.000713,0.000713,0.000713
15,257.866,0.78329,1.35844,0.98953,0.92319,1,0.98648,0.74356,0.93088,1.54423,1.1596,0.000614,0.000614,0.000614
16,274.021,0.7906,1.2761,1.00995,0.86192,1,0.96397,0.72463,0.92795,1.53896,1.18191,0.000515,0.000515,0.000515
17,289.947,0.79874,1.25822,0.98647,0.88385,1,0.96112,0.73049,0.91646,1.47253,1.16227,0.000416,0.000416,0.000416
18,305.706,0.80372,1.243,1.04096,0.92234,1,0.9636,0.74637,0.86009,1.36202,1.09107,0.000317,0.000317,0.000317
19,321.703,0.79179,1.22814,0.97882,0.92371,1,0.94738,0.75339,0.85541,1.3628,1.08158,0.000218,0.000218,0.000218
20,338.129,0.76501,1.24422,1.07315,0.96277,0.99482,0.96944,0.75505,0.86483,1.34871,1.0821,0.000119,0.000119,0.000119
